longitude,latitude,nptype,objid,yyymm,view_cnt,date_created,last_updated,man_created,providers,name,cntcode,addr,phone,ceo,gods,sect,build_type,org_type,x,y,geom_twnspcode
121.28421799018993,23.220997382305363,NP300,316622734,10708,0,"Aug 11, 2018 12:30:10 AM","Aug 11, 2018 2:02:30 AM","OPEN DATA-10708",內政資料開放平臺,東靈山正法寺,10015,花蓮縣富里鄉竹田村東竹104號,03-8821953,林澄龍(釋悟生),釋迦牟尼佛,佛教,適用監督寺廟條例寺廟,管理人(住持)制,279088.27,2568783.6,1001510
120.40974370535143,23.68011026953355,NP300,316623523,10708,0,"Aug 11, 2018 12:30:15 AM","Aug 11, 2018 2:02:55 AM","OPEN DATA-10708",內政資料開放平臺,湳子萬善堂,10009,雲林縣虎尾鎮延平里五鄰下南一四之二二號,05-6325211,李秋南,萬善爺,道教,適用監督寺廟條例寺廟,管理委員會制,189798.144,2619721.533,1000903
120.26871975616247,23.753819350759372,NP300,316623624,10708,0,"Aug 11, 2018 12:30:16 AM","Aug 11, 2018 2:02:58 AM","OPEN DATA-10708",內政資料開放平臺,福興宮,10009,雲林縣麥寮鄉瓦磘村10鄰霄仁厝47之17號,05-6932569,陳茂林,李府千歲,道教,適用監督寺廟條例寺廟,管理委員會制,175456.153,2627951.383,1000913
120.48035415842715,23.771904156248677,NP300,316624108,10708,0,"Aug 11, 2018 12:30:20 AM","Aug 11, 2018 2:03:17 AM","OPEN DATA-10708",內政資料開放平臺,埤頭埧萬靈宮,10009,雲林縣西螺鎮埤頭里10鄰79之1號,05-5865741,張丁文,地藏王,道教,適用監督寺廟條例寺廟,管理委員會制,197037.14,2629859.35,1000904
120.95744422751248,23.945322403701322,NP300,316624149,10708,0,"Aug 11, 2018 12:30:20 AM","Aug 11, 2018 2:03:18 AM","OPEN DATA-10708",內政資料開放平臺,宣平宮醒覺堂,10008,南投縣埔里鎮珠生路59-1號,049-2983554,廖明敏,關聖帝君,道教,適用監督寺廟條例寺廟,管理委員會制,245668.48,2648968.41,1000802
121.72155602780035,25.096858724163457,NP300,316624964,10708,0,"Aug 11, 2018 12:30:26 AM","Aug 11, 2018 2:03:49 AM","OPEN DATA-10708",內政資料開放平臺,法嚴寺,10017,基隆市七堵區東新街65巷48號,02-24562057,盧蓮昭,釋迦牟尼佛,佛教,適用監督寺廟條例寺廟,其他,322777.9,2776700.259,1001702
121.28896889143228,24.882915666475274,NP300,316625121,10708,0,"Aug 11, 2018 12:30:28 AM","Aug 11, 2018 2:03:54 AM","OPEN DATA-10708",內政資料開放平臺,靜修寺,68000,桃園市大溪區一心里29鄰下田心子46號,03-3885264,吳鶴燕,釋迦牟尼佛,佛教,適用監督寺廟條例寺廟,管理人(住持)制,279196.18,2752840.17,6800300
120.24457744016685,23.799315543393043,NP300,316628454,10708,0,"Aug 11, 2018 12:31:05 AM","Aug 11, 2018 2:05:50 AM","OPEN DATA-10708",內政資料開放平臺,許厝福興宮,10009,雲林縣麥寮鄉中興村6鄰許厝一街2號,05-6913577,許金淵,吳府千歲,道教,適用監督寺廟條例寺廟,管理人(住持)制,173021.87,2633002.97,1000913
120.44088856412148,23.81176588045625,NP300,316628560,10708,0,"Aug 11, 2018 12:31:06 AM","Aug 11, 2018 2:05:55 AM","OPEN DATA-10708",內政資料開放平臺,慈寶寺,10009,雲林縣西螺鎮安定里堤防路3號,05-5863996,李月銀,地藏王菩薩,佛教,適用監督寺廟條例寺廟,管理委員會制,193032.06,2634289.21,1000904
118.35081074600048,24.426430733121364,NP300,316631114,10708,0,"Aug 11, 2018 12:31:45 AM","Aug 11, 2018 12:31:45 AM","OPEN DATA-10708",內政資料開放平臺,紫蓮寺,09020,金門縣金寧鄉榜林村,082-326742,姚清華,佛祖,佛教,適用監督寺廟條例寺廟,管理委員會制,-18700.601,2704820.459,0902004
120.59198513636984,22.36974759175772,NP300,316626410,10708,0,"Aug 11, 2018 12:30:40 AM","Aug 11, 2018 12:30:40 AM","OPEN DATA-10708",內政資料開放平臺,保安萬靈宮,10013,屏東縣枋寮鄉義民路新龍村2-1號,08-8780497,陳英中,萬應公,道教,適用監督寺廟條例寺廟,管理人(住持)制,207981.55,2474553.12,1001316
120.40226402249384,23.32531002814948,NP300,316626681,10708,0,"Aug 11, 2018 12:30:43 AM","Aug 11, 2018 12:30:43 AM","OPEN DATA-10708",內政資料開放平臺,鎮安宮,67000,臺南市東山區東山里310號,06-,李文杰,吳府千歲,道教,適用監督寺廟條例寺廟,其他,188871.776,2580432.655,6700600
